Sample_ID,Dose_Ratio,SUVmax_Bias_In(%),MAPE_In(%),CR_In(%),SUVmax_Bias_Out(%),MAPE_Out(%),CR_Out(%)
P0194_D2_Z0101,0.500,100.7907,44.6055,96.9478,1.5806,22.1732,88.7183
P0194_D2_Z0102,0.500,105.1040,42.7255,104.5364,13.7321,21.3581,96.1005
P0194_D2_Z0103,0.500,150.4235,41.2744,105.6010,31.9373,19.9803,95.8908
P0194_D2_Z0104,0.500,307.6082,46.5173,100.1173,53.0859,23.4098,91.2323
P0194_D2_Z0105,0.500,171.9087,42.9302,98.7907,18.2906,21.2776,88.6354
P0194_D2_Z0106,0.500,85.6155,43.5746,95.7070,-5.6754,20.7255,86.8759
P0194_D2_Z0107,0.500,80.6166,45.4741,97.6107,-11.2270,20.7567,89.8677
P0194_D2_Z0108,0.500,118.0764,45.0550,96.1082,14.1855,21.5524,88.7860
P0194_D2_Z0109,0.500,141.9476,46.1230,90.9951,1.6597,22.0710,84.1468
P0194_D2_Z0110,0.500,184.0694,47.3046,96.6241,1.7880,22.9359,86.8167
P0194_D2_Z0111,0.500,163.3947,45.1209,98.4748,55.6587,21.6762,90.3994
P0194_D2_Z0112,0.500,230.3540,45.8751,100.7128,83.5417,22.1516,93.2443
P0194_D2_Z0113,0.500,95.7637,45.9584,97.9926,7.7817,21.6421,89.9066
P0194_D2_Z0114,0.500,100.1047,44.1609,94.5198,7.6851,21.3737,88.2085
P0194_D2_Z0115,0.500,96.0924,46.7683,93.3635,-0.9212,22.4263,87.4510
P0194_D2_Z0116,0.500,166.1981,47.0321,98.7521,9.9283,21.1687,88.8974
P0194_D2_Z0117,0.500,124.8970,45.1723,102.7621,3.0704,21.4169,93.5310
P0194_D2_Z0118,0.500,177.9236,46.4557,104.3510,3.7580,21.7213,92.9869
P0194_D2_Z0119,0.500,123.6735,47.9908,98.6187,33.6533,22.9357,90.7092
P0194_D2_Z0120,0.500,119.8162,47.0212,97.9768,6.4904,23.4366,89.1116
P0194_D2_Z0121,0.500,138.8833,48.3182,98.6149,67.0158,25.2312,87.4731
P0194_D2_Z0122,0.500,87.8095,46.6908,95.1682,-0.7562,22.8991,87.4115
P0194_D2_Z0123,0.500,135.7025,47.1494,98.2333,8.2653,21.9572,91.3462
P0194_D2_Z0124,0.500,176.6554,49.4631,101.3575,8.6306,23.4354,90.7668
P0194_D2_Z0125,0.500,106.8216,45.7232,98.6700,39.9459,22.1514,88.7883
P0194_D2_Z0126,0.500,126.0520,46.7409,97.1571,19.8960,21.4946,87.7137
P0194_D2_Z0127,0.500,123.9090,48.4094,94.0336,-1.0082,21.0097,84.4399
P0194_D2_Z0128,0.500,164.0826,46.8367,99.0629,-4.4319,20.7853,89.3706
P0194_D2_Z0129,0.500,181.0918,47.3179,104.5361,13.7060,21.3402,91.2217
P0194_D2_Z0130,0.500,114.5125,49.0668,103.4073,-1.0983,22.4814,92.5583
P0194_D2_Z0131,0.500,173.9062,46.4684,99.8115,16.9162,22.0047,90.2669
P0194_D2_Z0132,0.500,149.1822,47.3508,100.3107,1.6947,22.6626,87.7174
P0194_D2_Z0133,0.500,165.0434,47.2957,95.2190,11.6633,22.9058,84.1423
P0194_D2_Z0134,0.500,94.7874,46.4026,90.6846,-15.2139,21.8664,82.2782
P0194_D2_Z0135,0.500,140.7377,47.7722,94.0081,0.1548,22.3506,84.3530
P0194_D2_Z0136,0.500,124.9726,46.5587,96.4766,-6.2557,22.2328,84.4694
P0194_D2_Z0137,0.500,143.2831,46.9516,91.5377,-3.8666,22.5462,84.5097
P0194_D2_Z0138,0.500,136.9139,48.0883,93.9923,-17.5277,22.5928,87.1982
P0194_D2_Z0139,0.500,125.2479,46.2845,105.0091,-11.9320,21.4696,93.8517
P0194_D2_Z0140,0.500,135.4158,45.9029,107.1113,4.4321,22.3632,94.6981
P0194_D2_Z0141,0.500,188.4079,48.9838,95.7813,38.7605,23.7386,87.9000
P0194_D2_Z0142,0.500,147.2585,45.1860,92.9560,8.8463,20.6668,86.2324
P0194_D2_Z0143,0.500,165.2485,45.2975,98.4732,10.8993,21.3484,88.9892
P0194_D2_Z0144,0.500,269.1396,48.8032,103.0695,5.1150,23.3264,91.8314
P0194_D2_Z0145,0.500,213.8594,46.2299,104.4358,5.2308,21.6521,94.2859
P0194_D2_Z0146,0.500,153.8361,45.7587,95.0935,21.9407,21.6714,87.5603
P0194_D2_Z0147,0.500,83.1220,47.9798,91.9713,18.8569,22.1078,84.1989
P0194_D2_Z0148,0.500,105.4250,45.6403,102.4048,9.0956,20.0285,92.3222
P0194_D2_Z0149,0.500,195.5633,45.4251,102.6827,35.1358,22.0869,91.4338
P0194_D2_Z0150,0.500,158.1143,46.6803,96.5555,3.2707,23.8008,85.4370
P0194_D2_Z0151,0.500,183.6778,45.6551,95.4178,12.9461,22.4477,87.9955
P0194_D2_Z0152,0.500,261.1721,45.0188,98.3099,21.4926,20.8187,89.6508
P0194_D2_Z0153,0.500,357.0645,45.7282,100.8683,28.5192,20.5057,91.1437
P0194_D2_Z0154,0.500,96.9891,43.8116,100.4510,0.2300,20.1794,90.6388
P0194_D2_Z0155,0.500,284.3308,44.6032,102.0724,113.9372,21.2871,91.3193
P0194_D4_Z0000,0.250,2.7633,11.5959,99.8202,-6.9336,9.8552,91.1225
P0194_D4_Z0001,0.250,-7.3738,11.9259,96.7380,-10.1805,10.1149,88.4563
P0194_D4_Z0002,0.250,2.3134,11.5610,96.5353,-4.3158,9.6902,90.6458
P0194_D4_Z0003,0.250,-6.3981,11.0732,97.6651,-15.2642,9.0266,91.6574
P0194_D4_Z0004,0.250,12.5913,10.9347,96.3232,4.9078,9.0991,91.6142
P0194_D4_Z0005,0.250,15.3790,10.9876,97.3961,-1.9816,9.1188,92.6680
P0194_D4_Z0006,0.250,18.0293,11.4561,97.7549,5.2660,9.4342,92.2420
P0194_D4_Z0007,0.250,23.6133,11.1464,97.5692,2.6436,9.0548,91.9982
P0194_D4_Z0008,0.250,13.1280,11.6675,96.8993,3.5172,9.4108,92.1584
P0194_D4_Z0009,0.250,9.4810,12.5604,97.6786,2.1887,9.8473,92.8629
P0194_D4_Z0010,0.250,6.8962,11.4223,97.0303,-2.5899,9.0959,91.7862
P0194_D4_Z0011,0.250,6.4480,10.7409,100.1886,0.0798,8.3957,95.6227
P0194_D4_Z0012,0.250,1.5903,9.6437,100.9909,2.4889,8.6706,100.5359
P0194_D4_Z0013,0.250,16.8555,8.1963,100.4426,1.2562,8.2085,99.7757
P0194_D4_Z0014,0.250,1.8975,7.3316,100.5072,-3.9392,7.3539,100.5496
P0194_D4_Z0015,0.250,4.1398,7.4210,98.1522,-4.4655,7.7051,98.2506
P0194_D4_Z0016,0.250,10.9629,7.0694,99.1485,4.6097,7.0712,99.5886
P0194_D4_Z0017,0.250,3.6984,6.7498,99.7697,-1.8628,6.9999,99.5012
P0194_D4_Z0018,0.250,1.9229,6.7407,99.9490,1.6056,7.4312,99.2460
P0194_D4_Z0019,0.250,1.1988,5.9744,99.7154,-3.6140,6.6091,97.7947
P0194_D4_Z0020,0.250,5.8240,6.4518,100.1278,-1.8528,6.8677,97.7923
P0194_D4_Z0021,0.250,3.6053,6.5772,99.6047,-9.3307,6.9787,98.0553
P0194_D4_Z0022,0.250,12.1673,6.2088,99.9531,1.0793,6.5830,98.6994
P0194_D4_Z0023,0.250,3.2534,6.6583,101.2539,-9.3295,7.1276,100.0696
P0194_D4_Z0024,0.250,7.9436,6.8773,100.5301,-5.4471,6.9423,99.9115
P0194_D4_Z0025,0.250,3.2043,6.7431,99.9212,-1.5408,6.7155,98.9461
P0194_D4_Z0026,0.250,2.9885,6.8138,99.6994,-1.6741,7.0240,98.0758
P0194_D4_Z0027,0.250,14.9444,6.8760,98.9672,-0.1755,7.4039,97.4859
P0194_D4_Z0028,0.250,6.4249,7.0247,98.7463,-1.3982,7.3356,97.5008
P0194_D4_Z0029,0.250,-1.6871,7.1347,99.7115,-6.2368,7.1163,98.1915
P0194_D4_Z0030,0.250,18.8699,6.7921,99.2562,5.2132,6.9349,97.7334
P0194_D4_Z0031,0.250,6.1081,6.5704,99.5393,1.0236,7.1095,97.8104
P0194_D4_Z0032,0.250,10.9364,6.8153,99.4521,-6.6213,7.0859,97.2160
P0194_D4_Z0033,0.250,5.0246,6.7727,100.1248,-2.0006,6.8415,98.7892
P0194_D4_Z0034,0.250,4.1729,6.7335,99.9921,0.4060,6.8147,98.5725
P0194_D4_Z0035,0.250,10.8866,7.3086,99.1723,-1.7723,7.5733,96.6055
P0194_D4_Z0036,0.250,7.5341,6.9108,100.2727,-2.3416,7.2328,98.0569
P0194_D4_Z0037,0.250,5.0826,6.6979,99.4260,-9.8756,7.0050,98.1087
P0194_D4_Z0038,0.250,4.6778,7.6949,98.6609,-9.5956,7.8014,97.6297
P0194_D4_Z0039,0.250,-3.4321,7.1596,98.8790,-14.0262,7.7043,97.7516
P0194_D4_Z0040,0.250,0.8083,7.3310,100.3191,-11.4721,7.9116,98.2817
P0194_D4_Z0041,0.250,3.5799,7.7112,100.0016,-9.6565,7.8824,98.3656
P0194_D4_Z0042,0.250,1.1905,7.1902,100.3100,-5.3437,7.4815,99.6112
P0194_D4_Z0043,0.250,-2.1600,7.1334,101.2783,0.2139,7.9566,100.9161
P0194_D4_Z0044,0.250,13.8050,7.8035,101.0273,21.2416,8.2190,101.1771
P0194_D4_Z0045,0.250,5.8386,7.7142,99.4984,-1.4038,7.5060,99.2213
P0194_D4_Z0046,0.250,9.4386,8.0925,99.1946,-1.4724,7.7654,98.9125
P0194_D4_Z0047,0.250,-0.1733,7.6086,100.1481,-2.6953,7.2896,100.3959
P0194_D4_Z0048,0.250,7.1819,7.5868,100.4569,-2.5740,7.5366,100.6880
P0194_D4_Z0049,0.250,13.4842,8.0599,99.4774,-2.0930,8.1971,98.7863
P0194_D4_Z0050,0.250,6.8360,8.2652,99.9423,-1.9662,7.8423,98.9487
P0194_D4_Z0051,0.250,12.1751,7.8889,100.2195,2.5174,7.6723,99.1403
P0194_D4_Z0052,0.250,-1.1781,8.3748,100.1316,-7.5647,7.9104,99.4527
P0194_D4_Z0053,0.250,11.2149,8.4669,100.4385,-1.3824,8.5281,100.5288
P0194_D4_Z0054,0.250,10.1727,8.4848,99.3355,-5.1850,8.1576,99.1556
P0194_D4_Z0055,0.250,5.2483,9.0609,99.1004,-7.3045,8.4087,98.3581
P0194_D4_Z0056,0.250,5.9674,8.2605,99.4865,-4.6660,8.1339,98.9344
P0194_D4_Z0057,0.250,11.9576,8.2825,99.0519,-1.1438,7.9844,99.3558
P0194_D4_Z0058,0.250,5.8342,10.1230,99.1320,-0.9069,8.6598,100.1670
P0194_D4_Z0059,0.250,9.1900,9.8505,99.6989,-2.3583,8.5644,100.7643
P0194_D4_Z0060,0.250,7.9155,10.9945,99.5853,-5.5600,9.4392,99.9610
P0194_D4_Z0061,0.250,21.1440,11.5564,99.0732,2.5479,9.6139,98.8683
P0194_D4_Z0062,0.250,18.9890,11.4143,99.7763,7.0913,9.2357,99.3699
P0194_D4_Z0063,0.250,8.8709,12.3217,103.5121,3.1930,9.4309,101.6636
P0194_D4_Z0064,0.250,3.9146,12.9564,98.0003,-11.4383,10.4599,95.0596
P0194_D4_Z0065,0.250,-3.8314,13.3943,100.1507,-10.4446,10.6527,95.1689
P0194_D4_Z0066,0.250,-7.9273,14.1569,100.6476,-24.2397,10.8593,95.3159
P0194_D4_Z0067,0.250,-0.1241,13.6538,99.1801,-14.4700,10.9773,93.8193
P0194_D4_Z0068,0.250,10.2022,13.5160,101.2620,-7.6350,10.8696,96.1353
P0194_D4_Z0069,0.250,-7.2793,13.8090,100.6571,-14.1047,10.9714,95.4025
P0194_D4_Z0070,0.250,2.1478,14.3155,98.9443,-4.8816,11.3073,93.1681
P0194_D4_Z0071,0.250,16.6089,14.1859,99.7183,10.0620,11.1001,94.0184
P0194_D4_Z0072,0.250,23.6920,14.1294,100.1002,18.5172,11.0048,93.6945
P0194_D4_Z0073,0.250,10.9642,14.0358,100.1790,5.3442,11.0213,94.8223
P0194_D4_Z0074,0.250,4.5819,13.5636,99.4822,-2.7055,10.3507,94.1438
P0194_D4_Z0075,0.250,26.8103,15.1031,99.3133,17.8022,11.2606,93.4407
P0194_D4_Z0076,0.250,-0.2182,14.5232,99.5190,-11.0355,10.9492,93.9870
P0194_D4_Z0077,0.250,5.9858,14.6448,100.7938,2.4701,10.8603,95.0159
P0194_D4_Z0078,0.250,9.9570,15.0544,100.7405,2.0767,11.2677,94.7676
P0194_D4_Z0079,0.250,12.1402,14.1127,98.7231,4.7234,10.2863,93.6664
P0194_D4_Z0080,0.250,16.5364,14.0520,99.0868,-0.6373,10.1826,92.7150
P0194_D4_Z0081,0.250,35.0540,15.6933,99.4385,20.1949,10.8630,93.9408
P0194_D4_Z0082,0.250,10.6566,14.6168,99.7617,1.4914,10.6803,94.2891
P0194_D4_Z0083,0.250,-1.5221,14.9420,99.7158,-14.0487,10.9810,93.9081
P0194_D4_Z0084,0.250,3.7085,16.1956,101.0421,-15.6730,11.8001,94.5505
P0194_D4_Z0085,0.250,18.3125,15.7697,99.6977,2.2838,11.7211,93.3120
P0194_D4_Z0086,0.250,24.3653,15.8385,97.0668,8.5328,11.9238,90.5112
P0194_D4_Z0087,0.250,46.2336,16.3744,96.6580,26.5101,12.2335,89.3660
P0194_D4_Z0088,0.250,34.5811,15.8868,96.6532,10.0934,11.7288,90.5405
P0194_D4_Z0089,0.250,22.8430,16.5967,97.8831,5.6142,12.0583,91.2784
P0194_D4_Z0090,0.250,31.8510,16.9189,95.7872,-4.5276,12.2311,89.7171
P0194_D4_Z0091,0.250,3.0951,16.5102,98.9582,-15.7468,11.8643,91.6135
P0194_D4_Z0092,0.250,11.2773,16.5618,102.3336,-13.3999,12.0304,95.6453
P0194_D4_Z0093,0.250,12.8405,16.9334,100.3236,-1.5696,12.1623,94.8287
P0194_D4_Z0094,0.250,18.6423,16.3579,99.0353,6.6572,11.7193,93.4543
P0194_D4_Z0095,0.250,19.6739,17.5179,97.9774,10.5421,12.6349,92.0684
P0194_D4_Z0096,0.250,15.9141,17.3485,98.8066,9.2315,12.7788,93.7539
P0194_D4_Z0097,0.250,29.0964,16.6624,100.0528,13.2670,12.3793,96.0734
P0194_D4_Z0098,0.250,12.0864,18.2036,99.3043,-7.0807,13.2987,95.3800
P0194_D4_Z0099,0.250,18.0159,17.8225,98.8635,8.0551,13.0100,95.7676
P0194_D4_Z0100,0.250,18.6747,16.9662,97.3489,3.1931,12.4576,94.1655
P0194_D4_Z0101,0.250,23.6474,18.2673,97.9670,15.4256,12.9999,94.4664
P0194_D4_Z0102,0.250,40.9660,17.3842,99.9147,16.0273,12.4780,96.3624
P0194_D4_Z0103,0.250,50.4368,17.2694,101.8283,34.1929,12.4744,98.2738
P0194_D4_Z0104,0.250,38.3302,18.3725,101.3001,28.3751,13.3811,97.8276
P0194_D4_Z0105,0.250,22.0875,17.6838,101.2949,1.2520,12.5988,97.6113
P0194_D4_Z0106,0.250,36.4799,18.3127,99.9400,9.6351,12.6781,95.6563
P0194_D4_Z0107,0.250,9.3049,19.5208,99.0422,-10.5494,13.9777,94.4741
P0194_D4_Z0108,0.250,36.2515,18.2026,100.3677,4.5961,12.6353,96.2387
P0194_D4_Z0109,0.250,13.8247,18.7467,99.4831,-12.7541,13.0940,95.3419
P0194_D4_Z0110,0.250,27.4423,19.3370,100.7531,-0.3553,13.7647,96.1944
P0194_D4_Z0111,0.250,32.0245,18.7034,101.6246,16.2172,13.7614,97.6716
P0194_D4_Z0112,0.250,17.6345,19.2353,102.0079,13.3562,13.9781,97.9578
P0194_D4_Z0113,0.250,12.8374,19.0614,99.8960,-7.9393,13.3763,95.7245
P0194_D4_Z0114,0.250,10.6731,18.7980,100.0130,-7.9116,13.3060,95.8098
P0194_D4_Z0115,0.250,29.4955,19.4498,97.6205,13.9282,14.0211,93.5253
P0194_D4_Z0116,0.250,21.7890,19.4243,100.3318,10.2236,14.0397,95.7454
P0194_D4_Z0117,0.250,43.1781,18.7092,101.6854,6.6199,13.2494,96.2872
P0194_D4_Z0118,0.250,31.2477,19.9236,101.4510,-1.1519,14.1064,95.7451
P0194_D4_Z0119,0.250,40.3073,19.1951,100.7877,3.2811,14.0153,96.3296
P0194_D4_Z0120,0.250,41.0747,18.9462,99.7510,9.6868,13.5450,95.4442
P0194_D4_Z0121,0.250,40.2824,19.6105,98.1113,-5.5994,13.9349,93.1549
P0194_D4_Z0122,0.250,23.5499,19.1966,97.7693,-7.3311,13.7219,93.4950
P0194_D4_Z0123,0.250,5.3564,18.7336,99.4093,-12.3773,13.3822,95.3230
P0194_D4_Z0124,0.250,11.6957,19.5115,101.4406,-13.2272,13.6896,96.8383
P0194_D4_Z0125,0.250,19.4440,18.5200,100.8599,-6.0166,12.7675,96.2024
P0194_D4_Z0126,0.250,23.7678,19.2332,98.7710,-7.1215,13.3210,93.9596
P0194_D4_Z0127,0.250,19.4845,20.1166,98.3319,-6.2780,13.4777,92.5238
P0194_D4_Z0128,0.250,50.4466,19.1954,99.7353,19.9055,13.1648,94.2188
P0194_D4_Z0129,0.250,34.6401,19.4859,101.1350,8.8777,13.4950,95.6111
P0194_D4_Z0130,0.250,22.6016,19.9684,101.4731,-10.6936,13.7868,96.4211
P0194_D4_Z0131,0.250,37.4113,19.6374,101.2373,8.2807,14.1684,96.5697
P0194_D4_Z0132,0.250,39.7313,19.4119,99.3417,12.1639,14.0166,94.6742
P0194_D4_Z0133,0.250,34.8921,19.7114,97.3505,7.0820,14.1783,92.4004
P0194_D4_Z0134,0.250,5.3883,18.8898,98.8099,-11.6581,12.9686,93.2578
P0194_D4_Z0135,0.250,31.7357,19.6629,100.2966,-8.9088,13.0059,94.9092
P0194_D4_Z0136,0.250,34.0357,19.1710,100.0645,-3.4093,13.0915,95.6077
P0194_D4_Z0137,0.250,7.7277,18.7745,98.8192,-13.8180,13.0955,95.4984
P0194_D4_Z0138,0.250,25.0331,19.6002,99.8641,4.7573,13.4466,95.8753
P0194_D4_Z0139,0.250,40.0723,19.1677,100.5500,3.9020,13.1370,96.4851
P0194_D4_Z0140,0.250,33.7087,19.1724,101.0437,-0.4165,13.7960,96.9208
P0194_D4_Z0141,0.250,31.6372,20.3357,98.3531,-3.6564,14.2521,94.3605
P0194_D4_Z0142,0.250,27.5034,19.6289,99.1565,-9.7767,13.8924,95.5674
P0194_D4_Z0143,0.250,24.5347,18.8236,99.3948,-2.5676,13.8672,95.9319
P0194_D4_Z0144,0.250,26.3430,20.0255,99.2402,-4.0401,14.3540,95.6322
P0194_D4_Z0145,0.250,7.0908,18.5910,99.7844,-11.6839,12.9044,96.6496
P0194_D4_Z0146,0.250,27.9938,18.6842,99.9054,-1.4763,12.8472,96.2545
P0194_D4_Z0147,0.250,34.5384,20.3175,99.7359,6.6683,13.7763,95.0495
P0194_D4_Z0148,0.250,16.9861,19.5858,99.2301,-9.2334,13.3258,94.1730
P0194_D4_Z0149,0.250,38.6920,19.5349,99.2438,-5.7577,13.8923,94.7727
P0194_D4_Z0150,0.250,21.3649,19.8712,97.7671,-16.8407,14.2212,93.4761
P0194_D4_Z0151,0.250,39.4919,18.9733,97.7958,14.4910,13.6742,94.8020
P0194_D4_Z0152,0.250,52.1180,18.8429,98.4279,11.9748,13.4788,95.5191
P0194_D4_Z0153,0.250,29.8528,19.3721,99.3370,-2.3676,13.2149,95.6500
P0194_D4_Z0154,0.250,43.6923,18.5633,100.6165,-7.0887,12.7668,96.7470
P0194_D4_Z0155,0.250,42.1875,18.7485,103.6041,-4.5014,13.3597,99.0303
P0226_D10_Z0000,0.100,116.8478,68.8714,108.1957,-64.3086,24.8125,71.2423
P0226_D10_Z0001,0.100,26.5689,62.8662,97.0427,-61.6177,24.7885,78.6591
P0226_D10_Z0002,0.100,78.1921,65.5591,85.1967,-52.2128,28.0547,72.0585
P0226_D10_Z0003,0.100,119.8576,76.0359,69.8203,-37.4324,28.2787,68.3213
P0226_D10_Z0004,0.100,124.1982,73.7403,86.4464,-39.4743,26.6065,75.7956
P0226_D10_Z0005,0.100,116.0225,70.0193,83.7669,-41.0757,27.1226,101.3486
P0226_D10_Z0006,0.100,263.1264,75.7720,83.1679,-24.7382,31.9902,96.1693
P0226_D10_Z0007,0.100,286.6708,62.0756,100.7395,0.0054,25.9112,82.2242
P0226_D10_Z0008,0.100,274.4991,64.3154,92.6669,16.0096,26.8212,84.8926
P0226_D10_Z0009,0.100,269.0294,65.5995,93.8698,9.9614,27.0396,96.1432
P0226_D10_Z0010,0.100,260.2495,65.9427,85.8855,-6.5785,23.4927,82.7798
P0226_D10_Z0011,0.100,228.5270,67.3657,102.2250,13.4066,26.7979,79.8571
P0226_D10_Z0012,0.100,149.5334,69.5968,100.6707,25.0860,27.5245,85.3991
P0226_D10_Z0013,0.100,41.2341,60.0741,89.6036,-35.8979,39.5557,78.1859
P0226_D10_Z0014,0.100,88.9186,44.9482,82.7383,-18.2817,26.4510,80.1840
P0226_D10_Z0015,0.100,144.8471,43.2857,90.9038,-5.5728,24.7988,83.4894
P0226_D10_Z0016,0.100,113.4645,38.1008,89.1055,-3.1279,20.9782,86.3352
P0226_D10_Z0017,0.100,87.4828,38.4520,93.5031,-7.9415,20.9808,85.6649
P0226_D10_Z0018,0.100,140.7138,38.4181,97.7392,-5.8876,21.1803,86.2007
P0226_D10_Z0019,0.100,119.5949,34.1656,100.0373,6.1923,17.9912,90.3423
P0226_D10_Z0020,0.100,104.2271,34.0012,96.0596,14.8432,18.9596,87.4520
P0226_D10_Z0021,0.100,100.9264,34.6091,94.5809,-15.2457,19.1156,83.9898
P0226_D10_Z0022,0.100,101.0637,34.2097,97.1404,-5.5198,19.5481,91.0133
P0226_D10_Z0023,0.100,102.2475,35.7375,98.0923,1.1368,20.7066,89.0078
P0226_D10_Z0024,0.100,147.3442,35.0330,99.1751,-2.4281,19.2261,89.4560
P0226_D10_Z0025,0.100,96.0541,33.8247,104.6093,2.9448,18.0723,95.1593
P0226_D10_Z0026,0.100,97.6262,37.7662,99.6280,22.3766,21.2495,90.5780
P0226_D10_Z0027,0.100,118.6990,37.3711,94.8068,-1.8393,18.8933,88.1351
P0226_D10_Z0028,0.100,93.5517,38.6574,92.5724,-2.9814,21.8082,87.0129
P0226_D10_Z0029,0.100,104.4191,37.6181,89.6553,-3.2135,20.8153,83.1903
P0226_D10_Z0030,0.100,127.7429,40.4693,92.9704,-1.0523,23.1477,85.4004
P0226_D10_Z0031,0.100,98.9277,36.5456,99.7236,0.0525,19.2514,86.6323
P0226_D10_Z0032,0.100,133.2729,36.1095,101.8736,8.2613,18.7089,86.2816
P0226_D10_Z0033,0.100,101.6652,35.0976,102.4396,-0.0646,18.9564,87.2508
P0226_D10_Z0034,0.100,84.1746,35.5032,103.8355,7.6130,18.8268,88.7888
P0226_D10_Z0035,0.100,85.0588,35.8920,102.6911,-15.0480,18.2677,87.3886
P0226_D10_Z0036,0.100,141.2428,33.3434,98.1332,0.8400,16.6012,86.2783
P0226_D10_Z0037,0.100,78.4977,33.7054,95.4187,0.7003,18.0984,85.0991
P0226_D10_Z0038,0.100,109.7289,36.9865,99.6571,13.5789,18.9583,91.0723
P0226_D10_Z0039,0.100,129.6693,36.0356,102.6633,2.9720,18.5862,95.1465
P0226_D10_Z0040,0.100,78.0788,36.2546,102.1143,-4.4254,19.0414,90.6173
P0226_D10_Z0041,0.100,128.8716,40.8172,95.3560,-3.4619,21.4960,88.2596
P0226_D10_Z0042,0.100,105.5978,36.8519,95.1766,-21.6736,20.9000,85.1998
P0226_D10_Z0043,0.100,74.4176,39.8243,93.9434,-20.5605,22.4381,84.4815
P0226_D10_Z0044,0.100,106.8658,38.7487,95.3209,0.4615,19.6145,88.5370
P0226_D10_Z0045,0.100,74.6898,36.2147,99.1634,29.4270,17.3165,90.6501
P0226_D10_Z0046,0.100,65.9290,39.9255,99.1082,-9.1933,20.7247,92.0665
P0226_D10_Z0047,0.100,102.2555,39.5177,94.7965,-39.8527,20.6975,93.9232
P0226_D10_Z0048,0.100,77.3542,41.0264,92.8908,13.9301,19.9907,90.0135
P0226_D10_Z0049,0.100,111.5747,50.5130,88.5822,3.6227,28.7062,86.5101
P0226_D10_Z0050,0.100,146.4516,50.7975,87.4642,-5.7785,25.8740,89.8863
P0226_D10_Z0051,0.100,113.6398,44.5743,98.0721,0.3647,20.4300,102.2585
P0226_D10_Z0052,0.100,141.5593,52.3282,99.3167,-2.5755,22.3538,102.2317
P0226_D10_Z0053,0.100,169.6049,51.9684,105.7898,5.4419,21.8972,109.9384
P0226_D10_Z0054,0.100,167.4737,53.7458,95.5412,-7.8601,22.5151,105.1637
P0226_D10_Z0055,0.100,295.3343,64.2765,95.5888,-0.8861,32.5514,102.4741
P0226_D10_Z0056,0.100,95.3841,53.1448,91.1683,-6.2686,27.3395,99.0849
P0226_D10_Z0057,0.100,128.2359,55.2847,94.7309,3.7045,25.2124,100.6341
P0226_D10_Z0058,0.100,202.9662,64.8752,103.1961,-17.8647,30.3696,94.5426
P0226_D10_Z0059,0.100,95.3335,63.9529,94.1240,1.5634,27.3554,85.6511
P0226_D10_Z0060,0.100,119.6007,73.2537,89.0882,35.0654,27.2158,82.1077
P0226_D10_Z0061,0.100,231.9574,77.3437,90.7940,-25.7651,30.9829,80.6494
P0226_D10_Z0062,0.100,215.2553,77.3555,104.7088,-32.8209,28.3492,82.2759
P0226_D10_Z0063,0.100,250.7173,77.3681,102.2678,7.7593,27.2562,84.2741
P0226_D10_Z0064,0.100,606.5955,78.5004,101.0220,47.2730,26.9970,82.0359
P0226_D10_Z0065,0.100,361.8686,75.3186,87.0679,61.4913,23.9644,75.5794
P0226_D10_Z0066,0.100,213.6264,72.5811,77.4549,-9.3794,24.0162,70.4611
P0226_D10_Z0067,0.100,285.1658,73.8542,86.6401,13.3435,26.6153,76.3432
P0226_D10_Z0068,0.100,250.4706,77.2241,91.1318,-0.6240,27.3643,77.1723
P0226_D10_Z0069,0.100,335.4253,83.3032,95.3719,15.4876,29.0645,78.3191
P0226_D10_Z0070,0.100,253.2065,79.6006,103.4524,-18.2536,26.5246,81.5247
P0226_D10_Z0071,0.100,290.5071,79.0743,96.1657,-19.9134,28.0747,81.8104
P0226_D10_Z0072,0.100,637.9213,81.1730,95.6663,6.1454,28.0372,78.2167
P0226_D10_Z0073,0.100,346.0200,75.0030,88.4889,-13.7637,26.1727,79.5149
P0226_D10_Z0074,0.100,69.4731,71.8166,94.8494,-14.0646,25.0035,84.0073
P0226_D10_Z0075,0.100,137.8326,77.1453,98.9906,8.5665,26.7575,89.5591
P0226_D10_Z0076,0.100,84.2934,73.0153,96.2033,-38.7182,23.2468,82.4179
P0226_D10_Z0077,0.100,207.0436,80.0335,99.4214,-1.3969,24.7939,81.9751
P0226_D10_Z0078,0.100,125.0634,78.5485,92.0432,-37.2622,24.3862,79.6860
P0226_D10_Z0079,0.100,163.0578,74.5049,93.0959,-21.0852,23.4567,81.1199
P0226_D10_Z0080,0.100,355.1326,74.9460,90.4221,-16.6311,23.1122,77.9873
P0226_D10_Z0081,0.100,272.4868,78.3821,85.5905,-29.3313,23.5141,73.8045
P0226_D10_Z0082,0.100,241.0738,75.8061,89.4353,4.4796,24.8297,75.4774
P0226_D10_Z0083,0.100,249.0459,76.7021,88.6968,-15.2536,25.1258,74.8936
P0226_D10_Z0084,0.100,573.6721,86.3523,88.8962,46.7860,30.9960,79.4489
P0226_D10_Z0085,0.100,478.2758,80.4292,91.5498,29.3674,25.5415,77.1329
P0226_D10_Z0086,0.100,224.9508,77.4603,92.7431,81.0540,23.9902,78.4932
